psraid,internetUse,emailUse,internetYest,facebookUse,myspaceUse,linkedinUse,profileUse,twitterUse,payMusic,payVideo,payPhoto,payNews,payEbook,payGame,payRingtone,paySoftware,payApp,payAmount,payAmountMonth,household,emp,parent,sex,age,educ,race,inc,iphoneUse,twitterCheckFreq
100679,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,9998,1,3,2,2,76,7,1,99,2,
100692,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,2,2,80,5,1,99,2,
100697,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,,0,3,1,2,2,50,6,2,7,2,7
100702,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,1,1,,9998,3,1,2,2,99,5,1,8,2,
100711,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,2,58,6,1,6,2,
100712,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,99,3,1,99,1,
100725,1,1,1,1,2,1,2,1,1,2,1,1,1,2,2,1,1,,10,2,1,1,1,47,6,1,5,2,5
100727,2,2,,,,,,,,,,,,,,,,,,1,3,2,1,57,5,1,2,1,
100730,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,,0,2,3,2,1,72,6,4,99,2,
100740,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,9998,10,3,2,1,2,50,6,1,5,2,
100751,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,,0,2,1,2,2,50,6,1,99,2,
100753,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,1,2,2,47,3,1,9,1,
100766,2,2,,,,,,,,,,,,,,,,,,1,1,2,1,50,3,5,1,2,
100791,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,86,1,1,2,2,
100796,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,,0,9,1,9,2,99,6,9,5,2,
100797,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,2,1,2,1,64,3,1,8,2,
100799,1,1,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,,0,2,9,2,2,21,3,1,1,1,7
100800,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,16,0,3,3,2,2,77,3,1,4,2,
100803,2,2,,,,,,,,,,,,,,,,,,3,3,2,2,83,3,1,1,1,
100804,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,,0,2,1,1,2,40,3,1,6,2,7
100806,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,1,62,5,1,99,2,
100808,2,2,,,,,,,,,,,,,,,,,,2,3,2,1,80,1,1,2,2,
100814,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,2,70,3,1,3,1,
100816,2,2,,,,,,,,,,,,,,,,,,2,3,2,1,69,6,2,2,2,
100817,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,2,65,3,1,6,2,
100825,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,,0,2,3,2,1,61,7,1,99,2,
100828,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,2,1,70,5,1,6,2,
100829,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,0,3,3,2,1,66,3,1,4,2,
100835,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,82,5,1,99,2,
100836,1,1,1,2,1,2,1,2,1,2,2,2,2,1,2,1,2,60,5,2,1,2,1,25,5,1,6,2,
100842,2,2,,,,,,,,,,,,,,,,,,3,5,2,1,49,2,1,1,2,
100845,2,2,,,,,,,,,,,,,,,,,,2,3,2,2,99,3,2,1,2,
100847,1,1,2,2,2,2,2,2,1,1,2,1,1,1,2,1,2,,5,1,3,2,2,62,6,2,4,2,
100854,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,2,,9998,2,1,2,1,68,7,1,9,2,
100860,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,5,2,1,55,3,1,1,2,
100863,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,1,75,6,1,6,1,
100885,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,,0,3,2,1,2,55,6,1,7,2,
100887,2,2,,,,,,,,,,,,,,,,,,1,3,2,1,66,3,1,3,2,
100889,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,1,1,1,48,6,5,8,2,
100893,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,,10,2,4,1,2,37,7,1,6,2,
100896,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,3,4,2,1,57,4,1,99,2,
100898,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,2,2,61,6,1,4,1,
100902,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,500,13,2,1,2,1,55,5,2,7,2,
100905,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,2,1,1,2,35,6,1,9,2,7
100906,2,2,,,,,,,,,,,,,,,,,,1,1,1,2,33,6,1,2,2,
100909,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,4,2,2,37,5,1,1,1,
100912,2,2,,,,,,,,,,,,,,,,,,1,1,2,1,45,3,1,1,2,
100915,2,2,,,,,,,,,,,,,,,,,,2,1,2,1,58,6,1,6,2,
100925,1,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,,9998,2,3,2,2,62,7,1,99,2,7
100932,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,0,2,3,2,2,76,3,1,5,2,
100936,1,1,1,2,1,2,2,2,1,2,2,2,2,1,2,1,2,,0,2,3,2,1,70,3,1,5,2,
100937,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,2,75,5,1,99,2,
100938,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,2,1,2,1,61,1,1,6,2,
100940,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,1,2,1,57,6,1,6,2,
100941,2,2,,,,,,,,,,,,,,,,,,2,3,2,2,73,3,1,2,1,
100955,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,86,7,1,5,2,
100962,1,1,1,1,2,2,1,2,1,1,1,1,2,2,2,1,1,15,15,2,1,2,2,26,6,1,7,2,
100966,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,4,2,1,2,50,4,2,3,2,
100993,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,1,1,2,30,3,2,2,1,
100999,1,1,1,1,2,2,2,1,1,2,1,2,2,2,2,1,1,9998,9998,1,1,2,2,99,7,1,9,2,5
101001,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,,0,2,3,2,1,78,7,1,4,2,7
101002,2,2,,,,,,,,,,,,,,,,,,5,4,2,2,46,5,1,99,2,
101005,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,81,2,1,1,2,
